monitor_rand-1500-10000 1500 10000 15001 1.84 2.04 362.56640625 None
monitor_rand-500-5000 500 5000 5115 0.13 0.2 65.640625 None
monitor_rand-1500-20000 1500 20000 15422 1.64 1.88 703.13671875 None
monitor_rand-2000-10000 2000 10000 22931 2.07 2.29 483.86328125 None
monitor_rand-2000-5000 2000 5000 22706 2.8 2.94 253.640625 None
monitor_rand-2500-15000 2500 15000 26986 3.44 3.82 883.703125 None
monitor_rand-2500-5000 2500 5000 26168 3.69 3.9 313.6640625 None
monitor_rand-3000-500 3000 500 32850 3.88 3.95 58.9921875 None
monitor_rand-2000-20000 2000 20000 22169 2.66 3.05 941.1015625 None
monitor_rand-3000-10000 3000 10000 34559 4.43 4.76 722.5390625 None
monitor_rand-2000-15000 2000 15000 21380 2.92 3.25 710.28125 None
monitor_rand-3000-5000 3000 5000 31797 3.5 3.73 373.80859375 None
monitor_rand-3000-15000 3000 15000 32978 4.83 5.28 1059.3203125 None
monitor_rand-2500-500 2500 500 28142 3.34 3.39 46.01171875 None
monitor_rand-500-500 500 500 5425 0.07 0.07 11.2734375 None
monitor_rand-2500-10000 2500 10000 26601 4.08 4.41 600.546875 None
monitor_rand-2500-20000 2500 20000 28107 4.08 4.56 1167.35546875 None
monitor_rand-3000-20000 3000 20000 34422 5.3 5.96 1413.94140625 None
monitor_rand-500-20000 500 20000 4579 0.25 0.31 239.12109375 None
monitor_rand-1500-500 1500 500 17190 0.39 0.4 31.6484375 None
monitor_rand-500-10000 500 10000 5020 0.15 0.18 124.83984375 None
monitor_rand-500-15000 500 15000 5324 0.18 0.24 176.484375 None
monitor_rand-1000-10000 1000 10000 10397 0.54 0.65 245.87109375 None
monitor_rand-1000-5000 1000 5000 11374 0.51 0.57 127.49609375 None
monitor_rand-1500-5000 1500 5000 15430 0.59 0.66 188.7109375 None
monitor_rand-1500-10000 1500 10000 15744 0.62 0.76 362.68359375 None
monitor_rand-500-5000 500 5000 5030 0.13 0.18 65.44140625 None
monitor_rand-1000-15000 1000 15000 12345 0.63 0.79 355.24609375 None
monitor_rand-1000-20000 1000 20000 10908 0.8 0.99 468.21484375 None
monitor_rand-1500-15000 1500 15000 15626 0.95 1.13 529.13671875 None
monitor_rand-2000-5000 2000 5000 22396 1.05 1.17 251.99609375 None
monitor_rand-1000-500 1000 500 10985 0.16 0.17 20.984375 None
monitor_rand-1500-20000 1500 20000 15806 0.92 1.1 701.5859375 None
monitor_rand-2000-500 2000 500 22217 1.51 1.54 38.0078125 None
monitor_rand-2000-20000 2000 20000 22459 2.15 2.49 938.3359375 None
monitor_rand-2500-5000 2500 5000 26323 2.33 2.54 312.0625 None
monitor_rand-2000-15000 2000 15000 25392 1.75 2.04 709.42578125 None
monitor_rand-2500-500 2500 500 26684 2.0 2.04 44.765625 None
monitor_rand-3000-500 3000 500 34837 2.92 2.95 60.27734375 None
monitor_rand-2000-10000 2000 10000 21409 1.94 2.14 482.72265625 None
monitor_rand-500-500 500 500 4778 0.06 0.06 11.03515625 None
monitor_rand-2500-10000 2500 10000 28015 2.65 2.88 602.2890625 None
monitor_rand-2500-15000 2500 15000 26073 3.11 3.41 884.359375 None
monitor_rand-2500-20000 2500 20000 27049 3.1 3.56 1162.97265625 None
monitor_rand-3000-15000 3000 15000 35851 3.82 4.19 1062.078125 None
monitor_rand-3000-5000 3000 5000 35021 3.63 3.85 376.296875 None
monitor_rand-3000-10000 3000 10000 32323 3.56 3.88 718.75 None
monitor_rand-3000-20000 3000 20000 34257 4.09 4.59 1404.29296875 None
monitor_rand-500-20000 500 20000 5520 0.26 0.35 236.66796875 None
monitor_rand-1000-10000 1000 10000 9898 0.48 0.56 243.91015625 None
monitor_rand-500-10000 500 10000 4551 0.25 0.31 123.08203125 None
monitor_rand-500-15000 500 15000 5675 0.17 0.26 177.0703125 None
monitor_rand-1000-20000 1000 20000 9620 0.46 0.61 469.296875 None
monitor_rand-1500-500 1500 500 15538 0.82 0.84 27.82421875 None
monitor_rand-1000-5000 1000 5000 11107 0.59 0.66 128.1484375 None
monitor_rand-1000-500 1000 500 10289 0.18 0.19 21.19921875 None
monitor_rand-1000-15000 1000 15000 9670 0.51 0.66 354.2265625 None
monitor_rand-1500-5000 1500 5000 16250 0.86 0.94 188.7578125 None
monitor_rand-1500-10000 1500 10000 17048 0.91 1.03 364.7890625 None
monitor_rand-1500-15000 1500 15000 16752 1.24 1.43 532.0078125 None
monitor_rand-2000-500 2000 500 20951 1.24 1.27 37.3203125 None
monitor_rand-2000-10000 2000 10000 22895 1.87 2.11 484.42578125 None
monitor_rand-2000-5000 2000 5000 21770 1.52 1.62 252.265625 None
monitor_rand-2500-500 2500 500 28215 1.76 1.79 45.51953125 None
monitor_rand-500-5000 500 5000 5275 0.08 0.1 65.8359375 None
monitor_rand-1500-20000 1500 20000 17132 1.18 1.41 702.3125 None
monitor_rand-3000-500 3000 500 33217 2.75 2.8 62.08984375 None
monitor_rand-2000-20000 2000 20000 21356 1.62 1.92 939.94140625 None
monitor_rand-2500-5000 2500 5000 28721 1.98 2.11 312.90625 None
monitor_rand-2000-15000 2000 15000 23081 1.72 2.01 708.390625 None
monitor_rand-500-500 500 500 4691 0.06 0.06 10.92578125 None
monitor_rand-2500-10000 2500 10000 27505 2.85 3.07 602.32421875 None
monitor_rand-3000-5000 3000 5000 32555 3.47 3.66 374.171875 None
monitor_rand-2500-20000 2500 20000 28119 3.33 3.84 1170.76953125 None
monitor_rand-3000-15000 3000 15000 36071 3.99 4.33 1061.8671875 None
monitor_rand-2500-15000 2500 15000 28179 3.59 3.94 881.19921875 None
monitor_rand-3000-10000 3000 10000 34102 4.12 4.42 720.70703125 None
monitor_rand-500-20000 500 20000 5295 0.21 0.34 235.5 None
monitor_rand-1000-5000 1000 5000 10122 0.27 0.34 128.55859375 None
monitor_rand-1000-500 1000 500 10493 0.19 0.2 20.1875 None
monitor_rand-500-15000 500 15000 5059 0.17 0.23 177.1953125 None
monitor_rand-1500-500 1500 500 15786 0.45 0.46 27.73046875 None
monitor_rand-1500-5000 1500 5000 16121 0.46 0.53 188.52734375 None
monitor_rand-500-10000 500 10000 4975 0.11 0.16 123.76953125 None
monitor_rand-1000-15000 1000 15000 10706 0.61 0.75 354.6875 None
monitor_rand-1000-10000 1000 10000 10468 0.83 0.94 244.8828125 None
